FSC,RSG_ab
2.044385722,174.4959566
2.388810146,196.6979466
2.476201444,83.04160352
2.536231336,477.2070129
4.40002731,114.7452626
4.506696001,793.9045023
4.727853895,55.93041149
5.080105389,203.8938675
5.203261032,37.67040612
5.458601585,60.09753921
5.865297859,62.29612411
6.302295275,950.1451422
6.302295275,40.47706155
6.455080142,1266.556745
6.455080142,554.2744888
6.771851437,373.3164935
8.008066361,347.4309493
8.008066361,290.2998527
7.912727644,152.9570376
8.401047625,2171.149427
8.502270002,39.04852554
9.026972546,554.2744888
9.026972546,62.29612411
11.33364466,69.38634951
12.32479525,40.47706155
13.24306126,106.7888941
13.72754024,40.47706155
15.28993848,40.47706155
16.62707511,40.47706155
17.23535354,663.3558715
17.23535354,201.4664426
18.51948354,373.3164935
18.51948354,323.3402933
18.96844645,738.8556351
18.96844645,534.7127658
20.38170154,480.0732862
20.38170154,401.1306551
20.13905055,164.3531903
21.12733775,137.327164
21.90025203,793.9045023
21.90025203,114.7452626
22.97496699,477.2070129
22.7014423,170.3658233
22.7014423,137.327164
22.7014423,40.47706155
23.531943,433.6059676
23.531943,92.492973
23.531943,57.97654782
24.68673022,624.7975939
24.68673022,554.2744888
25.28520405,687.6238236
25.28520405,403.5399871
25.28520405,219.0850982
25.28520405,158.5527582
25.28520405,80.11085913
25.58985992,621.0672453
26.52602936,984.904881
26.52602936,249.9359584
26.21022808,43.49282848
27.16909283,302.7275011
27.16909283,157.6061203
27.16909283,142.3510874
27.16909283,114.7452626
27.16909283,66.93753294
28.50236655,408.4021517
28.50236655,216.4768166
28.61638276,45.08395313
29.19334183,712.7795851
29.19334183,262.2011101
29.19334183,242.5633199
29.19334183,168.337561
29.19334183,158.5527582
28.8457853,132.4805474
29.19334183,37.67040612
29.54508599,418.3029364
29.54508599,45.08395313
30.62595188,822.9483946
30.62595188,280.0544501
31.36840868,235.4081604
31.36840868,176.59842
31.36840868,137.327164
30.99495725,60.09753921
32.90775617,480.0732862
32.51597829,460.3651924
32.90775617,249.9359584
32.90775617,121.8265633
32.51597829,88.1663691
32.51597829,43.49282848
33.70553015,375.5587637
33.70553015,281.7365557
33.3042545,164.3531903
