FSC,RSG_ab
7.174757654,129.7131292
22.80801892,22.20665916
22.80801892,19.21755735
23.64742326,25.66068633
25.72814248,58.21704629
27.3255471,285.5522712
28.33121019,18.53539842
29.37388474,34.26402277
29.37388474,23.87128223
32.73785096,77.73565268
33.94270327,25.97169863
34.35409515,22.74821899
33.94270327,21.94073339
36.48706648,61.83161655
37.82990131,56.83109104
39.22215653,19.45047773
42.16227039,111.5790995
42.67328496,96.56012313
42.16227039,93.13256209
42.16227039,61.09118006
43.71396994,84.06763176
43.71396994,43.86277747
43.71396994,37.95867877
43.71396994,32.84929448
45.32277675,306.9574223
45.87209725,83.06091796
45.32277675,52.86807205
45.32277675,40.07333416
45.32277675,30.0113406
46.99079254,94.26134609
46.99079254,75.42929219
46.99079254,61.09118006
46.99079254,56.15053609
46.99079254,23.02393164
47.5603297,84.57555504
48.72019637,88.75098947
49.31069423,62.58102726
48.72019637,60.35961034
48.72019637,53.50884293
48.72019637,49.18140741
50.51324752,160.1568264
50.51324752,93.69525424
50.51324752,35.31169518
50.51324752,22.20665916
50.51324752,18.53539842
52.37228838,211.2921926
52.37228838,76.80476463
53.00705028,67.27213458
52.37228838,64.88419906
52.37228838,57.51989445
53.00705028,45.20394579
52.37228838,27.58422512
54.2997476,235.4898704
54.2997476,193.0379955
54.2997476,148.9885639
54.2997476,116.3845028
54.2997476,87.68819224
54.2997476,54.15738008
54.51824159,25.15058687
55.62397029,43.07725275
56.29814317,404.9637362
56.29814317,282.1327695
56.29814317,158.238941
56.29814317,119.9431285
56.29814317,57.51989445
56.98048715,50.07824295
56.29814317,37.2788887
56.29814317,33.0477647
56.29814317,31.49297894
56.98048715,25.66068633
58.37008576,223.0631549
58.37008576,180.6617955
58.37008576,90.91538394
58.37008576,27.09022788
58.37008576,23.72792189
58.37008576,21.16191082
59.79357289,49.77749523
59.07754207,31.49297894
59.07754207,25.66068633
60.51828213,196.5580927
60.51828213,182.8514501
60.51828213,136.9393704
60.51828213,95.40381117
60.51828213,72.31488981
61.25177498,53.18749255
60.51828213,40.07333416
60.51828213,20.90849596
62.74553865,213.8530934
62.74553865,111.5790995
62.74553865,90.91538394
62.74553865,69.74795337
62.74553865,64.10720776
61.99415791,61.09118006
62.74553865,56.83109104
62.74553865,43.86277747
62.74553865,28.77220143
62.74553865,24.74981789
62.74553865,19.92482181
63.50602627,72.31488981
63.50602627,52.23497443
64.27573114,29.8311058
65.05476497,306.9574223
65.05476497,136.9393704
65.05476497,96.56012313
65.05476497,61.09118006
65.05476497,57.51989445
67.44897783,108.2686284
67.44897783,77.73565268
67.44897783,36.83247227
67.44897783,19.68622114
67.44897783,18.7600509
69.93130499,262.458723
70.77888544,171.1283377
70.77888544,158.238941
69.93130499,127.3901375
69.93130499,111.5790995
69.93130499,102.5553319
69.93130499,82.56209091
70.77888544,72.31488981
70.77888544,68.91271839
70.77888544,57.51989445
70.77888544,53.50884293
69.93130499,46.30634668
70.77888544,43.33751867
70.77888544,37.2788887
69.93130499,34.67930911
69.93130499,27.91855107
69.93130499,22.20665916
72.50498933,456.8114722
72.50498933,306.9574223
72.50498933,251.6220567
72.50498933,239.7840884
72.50498933,185.0676437
72.50498933,90.36938646
72.50498933,49.18140741
72.50498933,40.55903043
72.50498933,23.87128223
73.38376331,174.2489067
73.38376331,154.4717954
73.38376331,69.74795337
74.27318819,66.46654764
73.38376331,58.92264774
74.27318819,53.50884293
73.38376331,44.12778941
73.38376331,38.18801908
75.17339307,211.2921926
75.17339307,185.0676437
75.17339307,147.2044189
75.17339307,128.9341297
75.17339307,76.80476463
76.08450859,49.77749523
76.08450859,46.58612228
75.17339307,40.07333416
75.17339307,27.91855107
75.17339307,25.97169863
75.17339307,20.90849596
77.94000216,609.9680456
77.94000216,547.2909963
77.94000216,265.6397716
77.94000216,172.1622679
77.94000216,111.5790995
77.94000216,64.88419906
77.94000216,56.48978871
77.94000216,52.55056985
77.94000216,44.66262643
77.94000216,36.61127277
77.94000216,31.87467971
78.88464951,67.27213458
79.84074615,48.88604569
81.78784411,350.4540583
81.78784411,327.9854789
80.80843087,244.1566126
80.80843087,229.8836358
80.80843087,211.2921926
81.78784411,172.1622679
80.80843087,166.0510839
80.80843087,119.9431285
80.80843087,81.57340604
80.80843087,76.80476463
80.80843087,57.51989445
80.80843087,50.99143252
80.80843087,40.07333416
81.78784411,37.05500822
81.78784411,28.2569291
80.80843087,19.21755735
83.78242646,456.8114722
83.78242646,381.2902507
83.78242646,156.3440223
83.78242646,97.14352406
83.78242646,87.68819224
83.78242646,70.16935943
83.78242646,29.65195341
83.78242646,23.87128223
84.79788508,338.0141127
85.82565124,170.1006168
85.82565124,37.73071577
87.9187047,379.0003905
86.86587412,244.1566126
86.86587412,158.238941
87.9187047,130.4968353
86.86587412,124.3573998
87.9187047,103.174955
86.86587412,71.44891564
87.9187047,67.27213458
87.9187047,64.10720776
86.86587412,57.51989445
87.9187047,54.15738008
86.86587412,52.23497443
87.9187047,39.83267148
88.27247629,33.85370951
86.86587412,22.47580801
86.86587412,19.21755735
90.06280202,497.0059745
90.06280202,392.9487555
90.06280202,275.4161217
90.06280202,185.0676437
90.06280202,141.979155
90.06280202,97.14352406
88.98429578,77.73565268
90.06280202,74.97629731
90.42520114,47.43563213
90.06280202,42.56140064
92.25918802,129.7131292
91.15437996,124.3573998
92.25918802,103.174955
92.25918802,66.46654764
91.15437996,62.58102726
91.15437996,39.11932067
91.15437996,33.44830976
93.37738657,679.8230177
93.37738657,581.2711083
93.37738657,503.0297795
93.37738657,198.9404134
94.50913789,159.1949956
94.50913789,120.6678058
93.37738657,82.56209091
93.37738657,77.73565268
93.37738657,72.31488981
93.37738657,49.77749523
94.50913789,44.12778941
93.37738657,42.05172589
93.37738657,29.65195341
94.50913789,25.81572412
97.20352264,316.9789121
96.81395789,285.5522712
96.81395789,179.5768208
96.81395789,166.0510839
96.81395789,133.6792971
96.81395789,125.1087475
96.81395789,111.5790995
96.81395789,58.56878444
95.65460625,55.47813081
96.81395789,45.75182603
97.20352264,31.11584905
96.81395789,19.92482181
99.57405134,158.238941
99.17498617,53.50884293
97.9873611,29.29686989
97.9873611,25.66068633
100.3770055,722.0317558
100.3770055,376.7242822
101.5935935,326.0157436
101.5935935,308.8120104
100.3770055,247.1158362
101.5935935,110.9090049
101.5935935,103.174955
101.5935935,71.44891564
101.5935935,57.86742052
100.3770055,42.56140064
104.071184,814.4738897
104.071184,424.956505
104.071184,167.0543382
104.071184,132.0784813
104.071184,116.3845028
104.4899508,90.91538394
104.071184,63.33952097
104.071184,52.23497443
104.071184,35.31169518
104.071184,19.92482181
105.3325462,318.2543874
106.6091962,110.9090049
105.3325462,105.0563767
105.3325462,69.74795337
105.3325462,58.92264774
105.3325462,54.15738008
109.2091037,595.4467247
107.9013196,282.1327695
107.9013196,148.9885639
107.9013196,119.9431285
109.2091037,95.40381117
109.2091037,87.68819224
107.9013196,32.26100677
109.2091037,29.8311058
111.8724157,494.021177
111.8724157,424.956505
111.8724157,198.9404134
111.8724157,112.2532427
111.8724157,100.7187007
111.8724157,67.67858213
111.8724157,56.48978871
111.8724157,44.66262643
111.8724157,40.55903043
111.8724157,39.11932067
111.8724157,22.20665916
113.2283302,609.9680456
113.2283302,92.01729533
113.2283302,29.65195341
114.6006787,21.16191082
115.9896603,509.1265941
115.9896603,404.9637362
115.9896603,172.1622679
115.9896603,148.9885639
117.3954766,118.506804
115.9896603,82.56209091
115.9896603,71.44891564
117.3954766,66.46654764
115.9896603,57.51989445
115.9896603,53.50884293
115.9896603,49.77749523
117.3954766,37.05500822
115.9896603,25.66068633
115.9896603,19.21755735
120.2584319,588.3162225
120.2584319,473.6235213
120.2584319,322.1116899
120.2584319,221.7235365
120.2584319,113.6137729
120.2584319,77.73565268
120.2584319,74.52602291
120.2584319,41.05061344
121.7159865,68.08748538
121.7159865,36.3914017
124.6843073,624.8435019
124.6843073,376.7242822
124.6843073,333.966378
124.6843073,318.2543874
124.6843073,285.5522712
124.6843073,147.2044189
124.6843073,102.5553319
124.6843073,61.09118006
124.6843073,45.75182603
129.2730684,655.691577
129.2730684,409.8719721
129.2730684,155.4050895
129.2730684,54.15738008
129.2730684,49.18140741
129.2730684,39.59345412
129.2730684,24.01550873
132.9585468,350.4540583
135.6551869,595.4467247
134.0307098,404.9637362
135.6551869,197.7456655
134.0307098,160.1568264
135.6551869,119.2228033
134.0307098,45.75182603
134.0307098,34.67930911
135.6551869,30.0113406
134.0307098,23.87128223
138.9634468,381.2902507
138.9634468,306.9574223
138.9634468,84.57555504
138.9634468,77.73565268
138.9634468,37.95867877
142.3523861,624.8435019
140.6477097,198.9404134
140.6477097,121.3968616
142.9251906,43.07725275
140.6477097,30.74323532
144.0777235,730.7829152
144.0777235,244.1566126
144.0777235,71.44891564
144.0777235,36.83247227
149.3802212,440.5961946
149.3802212,381.2902507
149.3802212,119.9431285
149.3802212,101.3272271
149.3802212,56.48978871
149.3802212,52.23497443
149.3802212,41.05061344
149.3802212,23.02393164
149.3802212,20.65811574
149.3802212,19.92482181
154.8778669,730.7829152
154.8778669,632.4167216
154.8778669,467.9518576
154.8778669,265.6397716
156.7550155,71.88059865
156.7550155,60.35961034
154.8778669,34.26402277
154.8778669,24.16060662
160.5778426,875.5272887
160.5778426,814.4738897
160.5778426,285.5522712
