FSC,RSG_ab
1.476542583,52.60646859
1.924340391,50.84239312
2.441202016,72.62757112
3.258140981,72.78419593
3.428559223,49.54937111
5.379270638,121.0779614
5.549950826,231.8760476
5.582926984,104.8332307
5.613075305,50.94289113
5.598483343,1813.70934
5.780268161,125.5942512
6.733740724,41.08125518
6.869266998,358.1020391
7.996628941,128.964285
8.316528571,84.67608337
8.323249665,75.988602
9.902004431,187.5436704
10.15037651,853.8698085
10.32404175,87.92921726
10.94233726,574.4431966
11.2986531,987.2464306
11.33522192,640.2894462
11.86298299,181.140838
11.90458352,113.3173409
11.93989789,76.19349849
12.35639381,96.94081236
12.84378387,68.41313621
13.70924131,173.8607676
13.75669879,109.4191634
14.13597532,360.0358232
14.21231089,174.9566013
16.01224781,40.12281867
16.44706594,139.3637788
16.76303378,54.54424067
16.96739584,270.1246968
17.38206434,53.26214675
17.52462431,447.7875405
17.72553826,97.20220462
18.20769852,335.6006543
18.48434356,44.48972605
18.99907809,141.2021429
19.5966268,280.3514752
19.84087586,53.31476128
19.85156417,49.60277012
20.16947287,742.9003387
21.09718622,225.8978635
21.21682544,105.8829355
21.33714311,49.62949121
22.68208745,218.0094134
22.85990681,76.56370543
23.60641383,130.0103226
23.6679419,91.72627032
24.28775169,361.4930111
24.35324145,251.9951688
24.45290475,145.7870285
24.61034319,61.69247893
25.66502909,140.6708278
25.43911699,91.7756834
25.86971647,48.51950436
26.39275084,83.37884133
26.45204227,61.72571276
26.60682413,141.5574673
26.815412,49.71420298
27.06447589,361.7851557
27.57203988,150.3722432
27.69108894,84.41806115
28.20280893,182.3152836
28.26362963,136.6019581
28.59022881,146.8376566
28.71367415,82.4337658
29.26529824,161.6978057
29.32841025,121.1540605
29.39165836,90.77616298
29.45504287,68.0151514
29.9966674,745.1041165
30.44423319,102.4058259
30.57293932,58.1856579
31.68772186,60.33977193
31.69910099,57.50548963
32.14608875,1108.738975
32.4767146,281.4103655
32.49420986,261.8174279
32.5730552,189.217644
32.72103911,103.0790367
32.7930753,76.77015264
32.92580007,44.68182139
32.9376238,42.583025
32.55259547,41.07019438
33.49815465,558.7295597
33.91567,106.2542406
34.92589299,261.9584694
35.05780843,158.0671698
35.07669413,147.0618887
35.21866149,85.59306993
36.43737053,112.9010841
36.93790797,90.93110733
36.51594946,84.59251941
36.55202141,74.10925938
37.44868247,362.6630067
37.48904066,313.9208644
37.76259841,118.4975625
37.93586164,64.1662033
38.00743618,49.84377874
38.30196261,88.79371906
39.01326885,189.4725765
39.07635234,152.5884798
39.11846465,132.0804896
39.18523532,105.0970355
39.3756275,54.8929566
40.61040309,110.3066692
40.64322283,98.98957592
40.6651174,92.09751786
40.71990542,76.89428806
40.76378898,66.55964609
41.98176032,162.1338095
42.85554444,51.41143829
42.38690634,44.7661237
42.41354707,41.15137611
43.50863776,170.1707417
43.62595492,118.6252665
