cruise,st,depth_m,substrate,method,repl,silver.grain_um2/h
MOBY,M2,100,Met,MAR,A,0.074302981
MOBY,M2,100,Met,MAR,A,0.051336605
MOBY,M2,100,Met,MAR,A,0.164817521
MOBY,M2,100,Met,MAR,A,0.078355871
MOBY,M2,100,Met,MAR,A,0.043230825
MOBY,M2,100,Met,MAR,A,0.149956925
MOBY,M2,100,Met,MAR,A,0.225610869
MOBY,M2,100,Met,MAR,A,0.324231189
MOBY,M2,100,Met,MAR,A,0.056740458
MOBY,M2,100,Met,MAR,A,0.132394402
MOBY,M2,100,Met,MAR,A,0.154009815
MOBY,M2,100,Met,MAR,A,0.039177935
MOBY,M2,100,Met,MAR,A,0.229663759
MOBY,M2,100,Met,MAR,A,0.031072156
MOBY,M2,100,Met,MAR,A,0.09456743
MOBY,M2,100,Met,MAR,A,0.136447292
MOBY,M2,100,Met,MAR,A,0.067548164
MOBY,M2,100,Met,MAR,A,0.091865504
MOBY,M2,100,Met,MAR,A,0.024317339
MOBY,M2,100,Met,MAR,A,0.418798619
MOBY,M2,100,Met,MAR,A,0.067548164
MOBY,M2,100,Met,MAR,A,0.374216831
MOBY,M2,100,Met,MAR,A,0.586318067
MOBY,M2,100,Met,MAR,A,0.141851145
MOBY,M2,100,Met,MAR,A,0.085110687
MOBY,M2,100,Met,MAR,A,0.010807706
MOBY,M2,100,Met,MAR,A,0.170221374
MOBY,M2,100,Met,MAR,A,0.083759724
MOBY,M2,100,Met,MAR,A,0.079706834
MOBY,M2,100,Met,MAR,A,0.079706834
MOBY,M2,100,Met,MAR,A,0.231014722
MOBY,M2,100,Met,MAR,A,0.037826972
MOBY,M2,100,Met,MAR,A,0.214803163
MOBY,M2,100,Met,MAR,A,0.187783897
MOBY,M2,100,Met,MAR,A,0.01215867
MOBY,M2,100,Met,MAR,A,0.362058161
MOBY,M2,100,Met,MAR,A,0.00810578
MOBY,M2,100,Met,MAR,A,0.041879862
MOBY,M2,100,Met,MAR,A,0.025668302
MOBY,M2,100,Met,MAR,A,0.039177935
MOBY,M2,100,Met,MAR,A,0.191836787
MOBY,M2,100,Met,MAR,A,0.105375136
MOBY,M2,100,Met,MAR,A,0.104024173
MOBY,M2,100,Met,MAR,A,0.085110687
MOBY,M2,100,Met,MAR,A,0.047283715
MOBY,M2,100,Met,MAR,A,0.255332062
MOBY,M2,100,Met,MAR,A,0.162115595
MOBY,M2,100,Met,MAR,A,0.241822429
MOBY,M2,100,Met,MAR,A,0.179678117
MOBY,M2,100,Met,MAR,A,0.128341512
MOBY,M2,100,Met,MAR,A,0.024317339
MOBY,M2,100,Met,MAR,A,0.120235733
MOBY,M2,100,Met,MAR,A,0.229663759
MOBY,M2,100,Met,MAR,A,0.383673574
MOBY,M2,100,Met,MAR,A,0.174274264
MOBY,M2,100,Met,MAR,A,0.033774082
MOBY,M2,100,Met,MAR,A,0.20129353
MOBY,M2,100,Met,MAR,A,0.237769539
MOBY,M2,100,Met,MAR,A,0.232365686
MOBY,M2,100,Met,MAR,A,0.058091421
MOBY,M2,100,Met,MAR,A,0.166168484
MOBY,M2,100,Met,MAR,A,0.171572338
MOBY,M2,100,Met,MAR,A,0.031072156
MOBY,M2,100,Met,MAR,A,0.131043439
MOBY,M2,100,Met,MAR,A,0.529577609
MOBY,M2,100,Met,MAR,A,0.078355871
MOBY,M2,100,Met,MAR,A,0.186432934
MOBY,M2,100,Met,MAR,A,0.089163577
MOBY,M2,100,Met,MAR,A,0.135096329
MOBY,M2,100,Met,MAR,A,0.141851145
MOBY,M2,100,Met,MAR,A,0.199942567
MOBY,M2,100,Met,MAR,A,0.035125045
MOBY,M2,100,Met,MAR,A,0.18913486
MOBY,M2,100,Met,MAR,A,1.141563979
MOBY,M2,100,Met,MAR,A,0.152658852
MOBY,M2,100,Met,MAR,A,0.236418575
MOBY,M2,100,Met,MAR,A,0.195889677
MOBY,M2,100,Met,MAR,A,0.022966376
MOBY,M2,100,Met,MAR,A,0.128341512
MOBY,M2,100,Met,MAR,A,0.11077899
MOBY,M2,100,Met,MAR,A,0.225610869
MOBY,M2,100,Met,MAR,A,0.218856053
MOBY,M2,100,Met,MAR,A,0.085110687
MOBY,M2,100,Met,MAR,A,0.009456743
MOBY,M2,100,Met,MAR,A,0.258033988
MOBY,M2,100,Met,MAR,A,0.217505089
MOBY,M2,100,Met,MAR,A,0.212101236
MOBY,M2,100,Met,MAR,A,0.029721192
MOBY,M2,100,Met,MAR,A,0.182380044
MOBY,M2,100,Met,MAR,A,0.289106144
MOBY,M2,100,Met,MAR,A,0.027019266
MOBY,M2,100,Met,MAR,A,0.267490731
MOBY,M2,100,Met,MAR,A,0.036476009
MOBY,M2,100,Met,MAR,A,0.154009815
MOBY,M2,100,Met,MAR,A,0.459327518
MOBY,M2,100,Met,MAR,A,0.047283715
MOBY,M2,100,Met,MAR,A,0.256683025
MOBY,M2,100,Met,MAR,A,0.109428026
MOBY,M2,100,Met,MAR,A,0.154009815
MOBY,M2,100,Met,MAR,A,0.48904871
MOBY,M2,100,Met,MAR,A,0.738976919
MOBY,M2,100,Met,MAR,A,0.41069284
MOBY,M2,100,Met,MAR,A,0.137798255
MOBY,M2,100,Met,MAR,A,0.021615413
MOBY,M2,100,Met,MAR,A,0.109428026
MOBY,M2,100,Met,MAR,A,0.078355871
MOBY,M2,100,Met,MAR,A,0.518769903
MOBY,M2,100,Met,MAR,A,0.035125045
MOBY,M2,100,Met,MAR,A,0.143202109
MOBY,M2,100,Met,MAR,A,0.380971647
MOBY,M2,100,Met,MAR,A,0.175625227
MOBY,M2,100,Met,MAR,A,0.239120502
MOBY,M2,100,Met,MAR,A,0.413394766
MOBY,M2,100,Met,MAR,A,0.208048346
MOBY,M2,100,Met,MAR,A,0.074302981
MOBY,M2,100,Met,MAR,A,0.059442385
MOBY,M2,100,Met,MAR,A,0.11077899
MOBY,M2,100,Met,MAR,A,0.09862032
MOBY,M2,100,Met,MAR,A,0.253981098
MOBY,M2,100,Met,MAR,A,0.083759724
MOBY,M2,100,Met,MAR,A,0.170221374
MOBY,M2,100,Met,MAR,A,0.067548164
