cruise,st,depth_m,substrate,method,repl,intensity_MGV.um2/h
MOBY,M2,500,HPG,BONCAT,A,4.133999874
MOBY,M2,500,HPG,BONCAT,A,0.345896109
MOBY,M2,500,HPG,BONCAT,A,1.309691599
MOBY,M2,500,HPG,BONCAT,A,3.14734127
MOBY,M2,500,HPG,BONCAT,A,2.132628877
MOBY,M2,500,HPG,BONCAT,A,4.458707669
MOBY,M2,500,HPG,BONCAT,A,7.156806481
MOBY,M2,500,HPG,BONCAT,A,1.149437165
MOBY,M2,500,HPG,BONCAT,A,1.584549332
MOBY,M2,500,HPG,BONCAT,A,1.18188966
MOBY,M2,500,HPG,BONCAT,A,4.174349155
MOBY,M2,500,HPG,BONCAT,A,3.079623084
MOBY,M2,500,HPG,BONCAT,A,2.827344933
MOBY,M2,500,HPG,BONCAT,A,5.148991711
MOBY,M2,500,HPG,BONCAT,A,1.495980885
MOBY,M2,500,HPG,BONCAT,A,4.930485389
MOBY,M2,500,HPG,BONCAT,A,9.901432169
MOBY,M2,500,HPG,BONCAT,A,0.895894262
MOBY,M2,500,HPG,BONCAT,A,5.115318505
MOBY,M2,500,HPG,BONCAT,A,2.117809852
MOBY,M2,500,HPG,BONCAT,A,0.41168257
MOBY,M2,500,HPG,BONCAT,A,5.451069396
MOBY,M2,500,HPG,BONCAT,A,1.31323322
MOBY,M2,500,HPG,BONCAT,A,3.910921456
MOBY,M2,500,HPG,BONCAT,A,0.817634278
MOBY,M2,500,HPG,BONCAT,A,1.00331693
MOBY,M2,500,HPG,BONCAT,A,1.056864803
MOBY,M2,500,HPG,BONCAT,A,0.523176961
MOBY,M2,500,HPG,BONCAT,A,4.553423299
MOBY,M2,500,HPG,BONCAT,A,5.049222054
MOBY,M2,500,HPG,BONCAT,A,1.604956519
MOBY,M2,500,HPG,BONCAT,A,1.726406788
MOBY,M2,500,HPG,BONCAT,A,3.296809682
MOBY,M2,500,HPG,BONCAT,A,3.066376241
MOBY,M2,500,HPG,BONCAT,A,2.205525777
MOBY,M2,500,HPG,BONCAT,A,0.614930372
MOBY,M2,500,HPG,BONCAT,A,1.551003886
MOBY,M2,500,HPG,BONCAT,A,1.237532129
MOBY,M2,500,HPG,BONCAT,A,5.4403142
MOBY,M2,500,HPG,BONCAT,A,5.216905321
MOBY,M2,500,HPG,BONCAT,A,0.649209868
MOBY,M2,500,HPG,BONCAT,A,3.500970273
MOBY,M2,500,HPG,BONCAT,A,1.537063693
MOBY,M2,500,HPG,BONCAT,A,2.520469686
MOBY,M2,500,HPG,BONCAT,A,0.506383618
MOBY,M2,500,HPG,BONCAT,A,2.521715138
MOBY,M2,500,HPG,BONCAT,A,1.787961634
MOBY,M2,500,HPG,BONCAT,A,3.550746285
MOBY,M2,500,HPG,BONCAT,A,1.86170108
MOBY,M2,500,HPG,BONCAT,A,1.816851785
MOBY,M2,500,HPG,BONCAT,A,0.284748887
MOBY,M2,500,HPG,BONCAT,A,1.335191273
MOBY,M2,500,HPG,BONCAT,A,1.503586285
MOBY,M2,500,HPG,BONCAT,A,5.952754465
MOBY,M2,500,HPG,BONCAT,A,1.215610041
MOBY,M2,500,HPG,BONCAT,A,0.803862716
MOBY,M2,500,HPG,BONCAT,A,1.716477005
MOBY,M2,500,HPG,BONCAT,A,4.637738696
MOBY,M2,500,HPG,BONCAT,A,3.289300923
MOBY,M2,500,HPG,BONCAT,A,2.219771192
MOBY,M2,500,HPG,BONCAT,A,0.485014197
MOBY,M2,500,HPG,BONCAT,A,0.866804824
MOBY,M2,500,HPG,BONCAT,A,1.762580653
MOBY,M2,500,HPG,BONCAT,A,2.411787966
MOBY,M2,500,HPG,BONCAT,A,3.11861267
MOBY,M2,500,HPG,BONCAT,A,1.162336726
MOBY,M2,500,HPG,BONCAT,A,2.716089478
MOBY,M2,500,HPG,BONCAT,A,4.310916919
MOBY,M2,500,HPG,BONCAT,A,2.535396175
MOBY,M2,500,HPG,BONCAT,A,3.142336826
MOBY,M2,500,HPG,BONCAT,A,2.001744596
MOBY,M2,500,HPG,BONCAT,A,0.900511026
MOBY,M2,500,HPG,BONCAT,A,1.10430589
MOBY,M2,500,HPG,BONCAT,A,1.556896773
MOBY,M2,500,HPG,BONCAT,A,0.256206022
MOBY,M2,500,HPG,BONCAT,A,1.644137665
MOBY,M2,500,HPG,BONCAT,A,1.610729419
MOBY,M2,500,HPG,BONCAT,A,0.582759749
MOBY,M2,500,HPG,BONCAT,A,2.256054676
MOBY,M2,500,HPG,BONCAT,A,2.803720279
MOBY,M2,500,HPG,BONCAT,A,3.54378303
MOBY,M2,500,HPG,BONCAT,A,0.346177381
MOBY,M2,500,HPG,BONCAT,A,2.423892963
MOBY,M2,500,HPG,BONCAT,A,0.380651221
MOBY,M2,500,HPG,BONCAT,A,0.977296713
MOBY,M2,500,HPG,BONCAT,A,2.799798578
MOBY,M2,500,HPG,BONCAT,A,1.644023812
MOBY,M2,500,HPG,BONCAT,A,1.600088343
MOBY,M2,500,HPG,BONCAT,A,2.975540296
MOBY,M2,500,HPG,BONCAT,A,1.369064047
MOBY,M2,500,HPG,BONCAT,A,3.57753143
MOBY,M2,500,HPG,BONCAT,A,2.361235178
MOBY,M2,500,HPG,BONCAT,A,1.030967567
MOBY,M2,500,HPG,BONCAT,A,3.996947373
MOBY,M2,500,HPG,BONCAT,A,3.094431783
MOBY,M2,500,HPG,BONCAT,A,2.632530523
MOBY,M2,500,HPG,BONCAT,A,0.23118676
MOBY,M2,500,HPG,BONCAT,A,1.817017034
MOBY,M2,500,HPG,BONCAT,A,1.191566638
MOBY,M2,500,HPG,BONCAT,A,0.744374616
MOBY,M2,500,HPG,BONCAT,A,6.220609518
MOBY,M2,500,HPG,BONCAT,A,1.87068443
MOBY,M2,500,HPG,BONCAT,A,5.411327681
MOBY,M2,500,HPG,BONCAT,A,8.08978712
MOBY,M2,500,HPG,BONCAT,A,6.215444391
MOBY,M2,500,HPG,BONCAT,A,5.694213241
MOBY,M2,500,HPG,BONCAT,A,2.905349719
MOBY,M2,500,HPG,BONCAT,A,4.830115146
MOBY,M2,500,HPG,BONCAT,A,0.8450292
MOBY,M2,500,HPG,BONCAT,A,0.737356889
MOBY,M2,500,HPG,BONCAT,A,0.339743807
MOBY,M2,500,HPG,BONCAT,A,2.697752196
MOBY,M2,500,HPG,BONCAT,A,1.973366626
MOBY,M2,500,HPG,BONCAT,A,1.779407484
MOBY,M2,500,HPG,BONCAT,A,3.739952212
MOBY,M2,500,HPG,BONCAT,A,0.877341264
MOBY,M2,500,HPG,BONCAT,A,1.304065156
MOBY,M2,500,HPG,BONCAT,A,1.046736206
MOBY,M2,500,HPG,BONCAT,A,0.636617436
MOBY,M2,500,HPG,BONCAT,A,4.689011865
MOBY,M2,500,HPG,BONCAT,A,1.61657035
MOBY,M2,500,HPG,BONCAT,A,3.880370418
MOBY,M2,500,HPG,BONCAT,A,2.18205932
MOBY,M2,500,HPG,BONCAT,A,1.881990257
MOBY,M2,500,HPG,BONCAT,A,2.430791359
MOBY,M2,500,HPG,BONCAT,A,1.633395796
MOBY,M2,500,HPG,BONCAT,A,3.776217588
MOBY,M2,500,HPG,BONCAT,A,2.175774315
MOBY,M2,500,HPG,BONCAT,A,10.75853056
MOBY,M2,500,HPG,BONCAT,A,0.7849282
MOBY,M2,500,HPG,BONCAT,A,9.448054438
MOBY,M2,500,HPG,BONCAT,A,4.450356261
MOBY,M2,500,HPG,BONCAT,A,0.360935071
MOBY,M2,500,HPG,BONCAT,A,2.819885759
MOBY,M2,500,HPG,BONCAT,A,2.84471584
MOBY,M2,500,HPG,BONCAT,A,4.243931478
MOBY,M2,500,HPG,BONCAT,A,1.669661305
