Bin,Per_cells
6.5,22.89141261
19.5,19.01372525
32.5,14.43459249
45.5,10.14089639
58.5,11.56807968
71.5,7.268310458
84.5,4.930159116
97.5,4.67812462
110.5,4.574881574
123.5,4.055629783
136.5,2.825822908
149.5,4.395724523
162.5,3.584962954
175.5,2.919956274
188.5,3.51512207
201.5,3.827887769
